2021-12-15 19:12:75 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 19:12:94 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 19:12:109 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 19:12:571 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:665 INFO  FamilyImmigrationStatusPage :37 - Selecting immigration status[[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //label[normalize-space()='Yes']]
2021-12-15 19:12:970 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (3a593e8dd48d099da121dd787e0c0248)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:66 INFO  ResultPage :29 - Getting result message : You’ll need a visa to join your family or partner in the UK
2021-12-15 19:12:66 INFO  ResultPage :41 - Verifying result message : You’ll need a visa to join your family or partner in the UK
2021-12-15 19:12:959 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 19:12:93 INFO  StartPage :25 - Clicking on start now button : [[ChromeDriver: chrome on WINDOWS (b1635f1f600236ba1e21d117b21d3667)] -> xpath: //a[normalize-space()='Start now']]
2021-12-15 19:12:349 INFO  SelectNationalityPage :30 - Selecting nationality from dropdown menu : Australia
2021-12-15 19:12:674 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (b1635f1f600236ba1e21d117b21d3667)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:190 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (b1635f1f600236ba1e21d117b21d3667)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:248 INFO  ResultPage :29 - Getting result message : You will not need a visa to come to the UK
2021-12-15 19:12:256 INFO  ResultPage :41 - Verifying result message : You will not need a visa to come to the UK
2021-12-15 19:12:82 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 19:12:497 INFO  StartPage :25 - Clicking on start now button : [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //a[normalize-space()='Start now']]
2021-12-15 19:12:618 INFO  SelectNationalityPage :30 - Selecting nationality from dropdown menu : Chile
2021-12-15 19:12:983 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //button[normalize-space()='Continue']]
